reportdate,hospital,dphcategory,covidstatus,patientcount,data_as_of,data_loaded_at
2020/07/18,All SF Hospitals,Med/Surg,COVID+,61,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/19,All SF Hospitals,ICU,COVID+,24,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/19,All SF Hospitals,Med/Surg,COVID+,66,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/20,All SF Hospitals,ICU,COVID+,24,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/20,All SF Hospitals,Med/Surg,COVID+,66,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/21,All SF Hospitals,ICU,COVID+,27,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/21,All SF Hospitals,Med/Surg,COVID+,67,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/22,All SF Hospitals,ICU,COVID+,29,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/22,All SF Hospitals,Med/Surg,COVID+,69,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/23,All SF Hospitals,ICU,COVID+,26,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/23,All SF Hospitals,Med/Surg,COVID+,73,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/24,All SF Hospitals,ICU,COVID+,27,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/24,All SF Hospitals,Med/Surg,COVID+,75,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/25,All SF Hospitals,ICU,COVID+,28,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/25,All SF Hospitals,Med/Surg,COVID+,73,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/26,All SF Hospitals,ICU,COVID+,33,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/26,All SF Hospitals,Med/Surg,COVID+,71,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/27,All SF Hospitals,ICU,COVID+,36,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/27,All SF Hospitals,Med/Surg,COVID+,73,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/28,All SF Hospitals,ICU,COVID+,37,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/29,All SF Hospitals,ICU,COVID+,37,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/29,All SF Hospitals,Med/Surg,COVID+,68,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/30,All SF Hospitals,ICU,COVID+,38,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/30,All SF Hospitals,Med/Surg,COVID+,72,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/31,All SF Hospitals,ICU,COVID+,35,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/31,All SF Hospitals,Med/Surg,COVID+,68,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/01,All SF Hospitals,ICU,COVID+,32,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/02,All SF Hospitals,ICU,COVID+,34,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/03,All SF Hospitals,ICU,COVID+,32,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/04,All SF Hospitals,ICU,COVID+,31,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/05,All SF Hospitals,ICU,COVID+,29,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/06,All SF Hospitals,ICU,COVID+,29,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/07,All SF Hospitals,ICU,COVID+,27,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/08,All SF Hospitals,ICU,COVID+,30,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/09,All SF Hospitals,ICU,COVID+,27,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/10,All SF Hospitals,ICU,COVID+,31,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/11,All SF Hospitals,ICU,COVID+,30,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/12,All SF Hospitals,ICU,COVID+,32,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/13,All SF Hospitals,ICU,COVID+,32,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/13,All SF Hospitals,Med/Surg,COVID+,65,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/14,All SF Hospitals,ICU,COVID+,36,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/14,All SF Hospitals,Med/Surg,COVID+,47,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/15,All SF Hospitals,ICU,COVID+,31,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/15,All SF Hospitals,Med/Surg,COVID+,55,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/16,All SF Hospitals,ICU,COVID+,34,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/17,All SF Hospitals,ICU,COVID+,34,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/18,All SF Hospitals,ICU,COVID+,37,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/19,All SF Hospitals,ICU,COVID+,37,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/19,All SF Hospitals,Med/Surg,COVID+,68,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/20,All SF Hospitals,ICU,COVID+,33,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/20,All SF Hospitals,Med/Surg,COVID+,64,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/21,All SF Hospitals,ICU,COVID+,33,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/22,All SF Hospitals,ICU,COVID+,35,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/22,All SF Hospitals,Med/Surg,PUI,10,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/08/30,All SF Hospitals,Med/Surg,COVID+,46,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/10/30,All SF Hospitals,Med/Surg,COVID+,26,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/10/31,All SF Hospitals,Med/Surg,COVID+,24,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/01,All SF Hospitals,Med/Surg,COVID+,23,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/02,All SF Hospitals,Med/Surg,COVID+,22,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/03,All SF Hospitals,Med/Surg,COVID+,20,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/04,All SF Hospitals,Med/Surg,COVID+,23,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/05,All SF Hospitals,Med/Surg,COVID+,26,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/10,All SF Hospitals,Med/Surg,COVID+,29,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/10,All SF Hospitals,Med/Surg,PUI,6,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/11,All SF Hospitals,Med/Surg,COVID+,28,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/12,All SF Hospitals,Med/Surg,COVID+,28,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/18,All SF Hospitals,Med/Surg,COVID+,30,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/19,All SF Hospitals,Med/Surg,COVID+,38,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/22,All SF Hospitals,ICU,COVID+,14,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/22,All SF Hospitals,Med/Surg,COVID+,40,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/23,All SF Hospitals,ICU,COVID+,18,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/24,All SF Hospitals,ICU,COVID+,19,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/25,All SF Hospitals,ICU,COVID+,19,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/26,All SF Hospitals,ICU,COVID+,24,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/27,All SF Hospitals,ICU,COVID+,22,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/27,All SF Hospitals,ICU,PUI,1,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/27,All SF Hospitals,Med/Surg,COVID+,52,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/28,All SF Hospitals,ICU,COVID+,22,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/28,All SF Hospitals,Med/Surg,COVID+,59,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/29,All SF Hospitals,ICU,COVID+,24,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/29,All SF Hospitals,Med/Surg,COVID+,63,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/30,All SF Hospitals,ICU,COVID+,24,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/11/30,All SF Hospitals,Med/Surg,COVID+,61,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/01,All SF Hospitals,ICU,COVID+,26,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/01,All SF Hospitals,Med/Surg,COVID+,67,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/02,All SF Hospitals,ICU,COVID+,32,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/02,All SF Hospitals,Med/Surg,COVID+,63,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/03,All SF Hospitals,ICU,COVID+,31,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/03,All SF Hospitals,Med/Surg,COVID+,66,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/04,All SF Hospitals,ICU,COVID+,34,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/04,All SF Hospitals,Med/Surg,COVID+,79,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/04,All SF Hospitals,Med/Surg,PUI,5,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/05,All SF Hospitals,ICU,COVID+,32,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/05,All SF Hospitals,Med/Surg,COVID+,81,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/06,All SF Hospitals,ICU,COVID+,31,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/06,All SF Hospitals,Med/Surg,COVID+,85,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/07,All SF Hospitals,ICU,COVID+,30,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/07,All SF Hospitals,Med/Surg,COVID+,89,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/08,All SF Hospitals,ICU,COVID+,32,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/08,All SF Hospitals,Med/Surg,COVID+,93,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/09,All SF Hospitals,ICU,COVID+,33,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/09,All SF Hospitals,Med/Surg,COVID+,91,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/10,All SF Hospitals,ICU,COVID+,33,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/10,All SF Hospitals,Med/Surg,COVID+,101,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/11,All SF Hospitals,ICU,COVID+,36,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/11,All SF Hospitals,Med/Surg,COVID+,101,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/12,All SF Hospitals,ICU,COVID+,37,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/12,All SF Hospitals,Med/Surg,COVID+,109,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/13,All SF Hospitals,ICU,COVID+,40,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/13,All SF Hospitals,Med/Surg,COVID+,118,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/14,All SF Hospitals,ICU,COVID+,42,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/15,All SF Hospitals,ICU,COVID+,41,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/16,All SF Hospitals,ICU,COVID+,39,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/16,All SF Hospitals,Med/Surg,COVID+,124,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/17,All SF Hospitals,ICU,COVID+,41,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/18,All SF Hospitals,ICU,COVID+,40,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/19,All SF Hospitals,ICU,COVID+,43,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/19,All SF Hospitals,Med/Surg,COVID+,136,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/20,All SF Hospitals,ICU,COVID+,46,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/20,All SF Hospitals,Med/Surg,COVID+,127,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/21,All SF Hospitals,ICU,COVID+,49,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/21,All SF Hospitals,Med/Surg,COVID+,118,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/22,All SF Hospitals,ICU,COVID+,47,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/23,All SF Hospitals,ICU,COVID+,54,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/24,All SF Hospitals,ICU,COVID+,51,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/25,All SF Hospitals,ICU,COVID+,49,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/26,All SF Hospitals,ICU,COVID+,48,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/27,All SF Hospitals,ICU,COVID+,50,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/28,All SF Hospitals,ICU,COVID+,54,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/29,All SF Hospitals,ICU,COVID+,56,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/29,All SF Hospitals,Med/Surg,COVID+,164,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/30,All SF Hospitals,ICU,COVID+,53,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/30,All SF Hospitals,Med/Surg,COVID+,163,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/31,All SF Hospitals,ICU,COVID+,53,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/12/31,All SF Hospitals,Med/Surg,COVID+,162,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/01,All SF Hospitals,ICU,COVID+,55,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/01,All SF Hospitals,Med/Surg,COVID+,163,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/02,All SF Hospitals,ICU,COVID+,53,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/02,All SF Hospitals,Med/Surg,COVID+,157,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/03,All SF Hospitals,ICU,COVID+,53,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/03,All SF Hospitals,Med/Surg,COVID+,161,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/04,All SF Hospitals,ICU,COVID+,60,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/04,All SF Hospitals,Med/Surg,COVID+,162,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/05,All SF Hospitals,ICU,COVID+,58,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/05,All SF Hospitals,Med/Surg,COVID+,176,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/06,All SF Hospitals,ICU,COVID+,58,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/06,All SF Hospitals,Med/Surg,COVID+,183,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/07,All SF Hospitals,ICU,COVID+,60,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/07,All SF Hospitals,Med/Surg,COVID+,182,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/08,All SF Hospitals,ICU,COVID+,59,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/08,All SF Hospitals,Med/Surg,COVID+,180,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/09,All SF Hospitals,ICU,COVID+,58,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/09,All SF Hospitals,Med/Surg,COVID+,195,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/10,All SF Hospitals,ICU,COVID+,57,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2021/01/10,All SF Hospitals,Med/Surg,COVID+,192,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
